base_pkg,adv_pkg,categories,typomind_cat
0x,0z,['Close Letters on QWERTY Keyboard'],NA
0x,ox,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
0x,0s,['Close Letters on QWERTY Keyboard'],NA
0x,0c,['Close Letters on QWERTY Keyboard'],NA
0x,0a,['Close Letters on QWERTY Keyboard'],NA
0x,1x,['Bit Flips'],NA
0x,0x0,['Suffix Added'],NA
0x,px,['Close Letters on QWERTY Keyboard'],NA
0x,3x,['Bit Flips'],NA
0x,9x,['Close Letters on QWERTY Keyboard'],NA
0x,7x,['Bit Flips'],NA
0x,0d,['Close Letters on QWERTY Keyboard'],NA
0x,0x.js,['Suffix Added'],NA
101,1,['Bit Flips'],NA
101,11,['Character Removed'],NA
101,1010,['Suffix Added'],NA
101,102,['Close Letters on QWERTY Keyboard'],NA
101,10,['Character Removed'],NA
101,q01,['Close Letters on QWERTY Keyboard'],NA
101,1013,['Suffix Added'],NA
101,1,['Character Removed'],NA
101,111,['Letter Duplicated and Replaced'],NA
101,110,['Letters Swapped'],NA
2fa,2a,['Character Removed'],NA
2fa,efa,['Close Letters on QWERTY Keyboard'],NA
2fa,mfa,['Bit Flips'],NA
2fa,wfa,['Close Letters on QWERTY Keyboard'],NA
3d-view,wd-view,['Close Letters on QWERTY Keyboard'],NA
7zip,uzip,['Close Letters on QWERTY Keyboard'],NA
7zip,zip,['Character Removed'],NA
a11y-focus-store,a11y-focus-store,['Letter Duplicated and Replaced'],NA
abab,aab,['Character Removed'],NA
abab,zbab,['Close Letters on QWERTY Keyboard'],NA
abab,abap,['Ascii Homoglpyh'],NA
abab,abb,['Character Removed'],NA
abbrev,abbrev,['Letter Duplicated and Replaced'],NA
ably,abby,['Letter Duplicated and Replaced'],NA
ably,aly,['Character Removed'],NA
ably,aby,['Character Removed'],NA
ably,ablo,['Swap Vowel'],NA
ably,abl,['Character Removed'],NA
ably,ablyjs,['Suffix Added'],NA
ably,bly,['Character Removed'],NA
abort-controller,abort-controller,['Letter Duplicated and Replaced'],NA
abortcontroller-polyfill,abortcontroller-polyfill,['Letter Duplicated and Replaced'],NA
abs,zbs,['Close Letters on QWERTY Keyboard'],NA
abs,abes,['Double hit character'],NA
abs,abw,['Close Letters on QWERTY Keyboard'],NA
abs,abds,['Double hit character'],NA
abs,abd,['Close Letters on QWERTY Keyboard'],NA
abs,as,['Character Removed'],NA
abs,ags,['Close Letters on QWERTY Keyboard'],NA
abs,abe,['Close Letters on QWERTY Keyboard'],NA
abs,ibs,['Swap Vowel'],NA
abs,abz,['Close Letters on QWERTY Keyboard'],NA
abs,ubs,['Swap Vowel'],NA
abs,wbs,['Close Letters on QWERTY Keyboard'],NA
abs,abbs,['Letter Duplicated'],NA
abs,abcs,['Double hit character'],NA
abs,nbs,['Bit Flips'],NA
abs,asb,['Letters Swapped'],NA
abs,abas,['Double hit character'],NA
abs,fbs,['Bit Flips'],NA
abs,abq,['Close Letters on QWERTY Keyboard'],NA
abs,afs,['Close Letters on QWERTY Keyboard'],NA
abs,ans,['Close Letters on QWERTY Keyboard'],NA
abs,aas,['Letter Duplicated and Replaced'],NA
abs,ahs,['Close Letters on QWERTY Keyboard'],NA
abs,avs,['Close Letters on QWERTY Keyboard'],NA
abs,ebs,"['Ascii Homoglpyh', 'Swap Vowel']",NA
abs,abx,['Close Letters on QWERTY Keyboard'],NA
abs,abc,['Close Letters on QWERTY Keyboard'],NA
abs,bbs,['Bit Flips'],NA
abs,sbs,['Close Letters on QWERTY Keyboard'],NA
abs,aba,['Close Letters on QWERTY Keyboard'],NA
absolute,absoluta,"['Ascii Homoglpyh', 'Swap Vowel']",NA
absolute,absolut,['Character Removed'],NA
abstract-logging,abstract-logging,['Letter Duplicated and Replaced'],NA
accept,accepts,['Suffix Added'],NA
accept,accept,['Letter Duplicated and Replaced'],NA
accept-language,accept-language,['Letter Duplicated and Replaced'],NA
accept-language-parser,accept-language-parser,['Letter Duplicated and Replaced'],NA
accepts,accept,['Character Removed'],NA
accepts,accepts,['Letter Duplicated and Replaced'],NA
accesscontrol,accesscontrol,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
accessibility-developer-tools,accessibility-developer-tools,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
accessor-fn,accessor-fn,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
accessory,accessory,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
accord,accord,['Letter Duplicated and Replaced'],NA
accounting,accounting,['Letter Duplicated and Replaced'],NA
accounting-js,accounting-js,['Letter Duplicated and Replaced'],NA
acorn,scorn,['Close Letters on QWERTY Keyboard'],NA
acorn,acrn,['Character Removed'],NA
acorn,aocrn,['Letters Swapped'],NA
acorn-class-fields,acorn-class-fields,['Letter Duplicated and Replaced'],NA
acorn-hammerhead,acorn-hammerhead,['Letter Duplicated and Replaced'],NA
acorn-import-assertions,acorn-import-assertions,['Letter Duplicated and Replaced'],NA
acorn-logical-assignment,acorn-logical-assignment,['Letter Duplicated and Replaced'],NA
acorn-loose,acorn-loose,['Letter Duplicated and Replaced'],NA
acorn-private-class-elements,acorn-private-class-elements,['Letter Duplicated and Replaced'],NA
acorn-static-class-features,acorn-static-class-features,['Letter Duplicated and Replaced'],NA
acorn5-object-spread,acorn-object-spread,['Character Removed'],NA
acta,acat,['Letters Swapped'],NA
acta,ecta,"['Ascii Homoglpyh', 'Swap Vowel']",NA
acta,aca,['Character Removed'],NA
acta,actajs,['Suffix Added'],NA
acta,act,['Character Removed'],NA
acta,cta,['Character Removed'],NA
acta,acca,['Letter Duplicated and Replaced'],NA
acta,ata,['Character Removed'],NA
actions-on-google,actions-on-google,['Letter Duplicated and Replaced'],NA
actions-toolkit,actions-toolkit,['Letter Duplicated and Replaced'],NA
adal-angular,adal-angular5,['Suffix Added'],NA
adapterjs,adapters,['Character Removed'],NA
adbkit,adbkitt,"['Letter Duplicated', 'Letter Duplicated and Replaced']",NA
add,abd,['Ascii Homoglpyh'],NA
