Rater,P/s augmentation,Sequence reord.,Delimiter modif.,Grammatical subst.,Scope confusion,Semantic subst.,Asemantic subst.,Homophonic sim.,Simplification,Alternate spelling,Homographic repl.,Control
5,5,3,3,5,4,4,3,3,5,4,3.5,"""N/A"""
6,4,3,3,3,4,4,4,4,3,3,4.5,"""N/A"""
7,5,4.5,5,5,5,2,3,4,4,6,5.5,"""N/A"""
8,3,4,4,3,3,2,3,1,5,4.5,1.5,"""N/A"""
9,3,4,4,4,3.5,5,5,3,5,2.5,3,"""N/A"""
10,2.5,3,3,2,2,2,2,3,1,5,4.5,"""N/A"""
11,1,3,1,5,2,2,1,1.5,2,3.5,2,"""N/A"""
12,2,4.5,1.5,4.5,4,1,2,1,2,4,2,"""N/A"""
13,3,4,5,6,5,1,3,4,4,5.5,5,"""N/A"""
14,3,3.5,4,5,4.5,2,2,2,2,4.5,2,"""N/A"""
16,4,5,5,5,3,2,4,2,1,5,3,"""N/A"""
17,1,4,1.5,4,2,1.5,1,1,2,1.5,2,"""N/A"""
18,3,3.5,6,3,2,1,2,2,3,6,2,"""N/A"""
19,1.5,6,5,6,4,1,1,1,1,3.5,5,"""N/A"""
20,3,6,3.5,5,3,1,1,1,1,6,1,"""N/A"""
21,4,4,4.5,6,3.5,2,3,2,3,5,3,"""N/A"""
22,2,3,3.5,5,3.5,2.5,2,2,2,3.5,2,"""N/A"""
23,2,3.5,2,3,2,1,2,2.5,2,4,3.5,"""N/A"""
24,2.5,6,3.5,6,3,1,2,2,2.5,6,6,"""N/A"""
25,3,6,3,5,3.5,1.5,1,1,2,6,3,"""N/A"""
26,3,2.5,5,4,4.5,3,3,1,3,1,2,"""N/A"""
28,5,6,5,6,1.5,3.5,3,4,5,4.5,"""N/A""","""N/A"""
29,3,5.5,5,4.5,2.5,5,4,5,5,5.5,4,"""N/A"""
30,2,5.5,4.5,5,3,2,1.5,1,2,5,3.5,"""N/A"""
31,2,2,6,6,4,1.5,1,1,2,6,6,"""N/A"""
32,1,4,3,2,4,1.5,1,1,1,1,3,"""N/A"""
33,6,6,5,5,6,5,1,3.5,6,1,5,"""N/A"""
34,2.5,5.5,4,2,5,1.5,1,1,2,6,1,"""N/A"""
35,5,5,3,6,2,2,2,5,4,5.5,5,"""N/A"""
36,4.5,5,3,3,1,4,3,3,2,4,1,"""N/A"""
37,3.5,3,2,1,3,3,4,5,2,1.5,2,"""N/A"""
38,3,3,2.5,4,4,3,3.5,1,5,3.5,3.5,"""N/A"""
39,4,4,5,6,2,2,2,5,2,1,3,"""N/A"""
40,4,3.5,4,3.5,3,4,4,5,2,5,4,"""N/A"""
41,3,2.5,4.5,3.5,2.5,4.5,4,4,4,6,6,"""N/A"""
42,3,5,4,5,4,3,4,4,2.5,6,6,"""N/A"""
43,5,5,4,2,2,5,2,5,2,6,5,"""N/A"""
44,2.5,2,2.5,3,2,2,2,2,1,2.5,2.5,"""N/A"""
45,1,3.5,2.5,3,3,1.5,2.5,1,3,3.5,5,"""N/A"""
46,5,5,4,5,4.5,4,2,5,1,5,5,"""N/A"""
47,4,5.5,4,6,2,2,2,2.5,1,4,4,"""N/A"""
48,5,5,3.5,4,4,5,5,4,4,6,3.5,"""N/A"""
49,3,4.5,4,6,4,2.5,2,1,3.5,6,2,"""N/A"""
50,3.5,5,3.5,5,2.5,1,2,3,3,6,2,"""N/A"""
51,1,5,5,5.5,4,5,4,4,5,3,2,"""N/A"""
52,2,4,5.5,4,5,3,3,5,1.5,6,6,"""N/A"""
53,5,5,5,3,4,5,3,4,3.5,3,5,"""N/A"""
55,4,5.5,4,5,3,2,2,2,2,4.5,2,1
56,6,3.5,1,1,5,1,4,5,1,3,1,4
57,1,5,5,6,4,1,2,1.5,5,6,3,1.5
58,3,3.5,4,3,4,4,4,2.5,4,3.5,3,4
59,2,5,4.5,5,2,2,3,2,3.5,5.5,5,1
60,2,2.5,3,2,2,2,2,2,2.5,4,2,1
61,1,5,3.5,6,5,4,3,3,3.5,4.5,4.5,3
62,3,3,3,5,4,3,2,3,4,3.5,3.5,2.5
63,3,3.5,4,5,4,1,1.5,2,1.5,5,1.5,1
64,2,4,3,5,3,2,1,1,3,6,4,1
65,2,2,3.5,5.5,2,1,2,2.5,1,3,2,1.5
66,3,1,4.5,5,5,1.5,2,2.5,1,3,3,1
67,6,4.5,6,6,6,1,1,1,6,6,6,1
68,2,3,3.5,3,2,3,3,3.5,2.5,6,3,3
69,2,6,2.5,6,6,1,3,2,3,6,5,1
70,2,4,2,1,1.5,1,1,1,1,2,1.5,2
