adv_pkg,base_pkg,category,typomind_cat
lots, lost, Swapped Characters,{'1-step D-L dist': 1}
unzip2, unzip, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
range, drange, Omitted Characters,{'1-step D-L dist': 1}
uint4, uint, Version Number,{'1-step D-L dist': 1}
vd, fd, Common Typos,NA
vcss, cvss, Swapped Characters,{'1-step D-L dist': 1}
use-swr, use-ssr, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
bip38, bip39, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
tsnl, tsml, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
mkdir-promise, mkdirp-promise, Omitted Characters,{'1-step D-L dist': 1}
ast-query, query-ast, Swapped Words,{'sequence reordering': 1}
rd, rc, Common Typos,NA
alg, alt, Common Typos,NA
deindent, de-indent, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
animation.css, css-animation, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
, bull, Common Typos,NA
marked3, marked, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
media-match, match-media, Swapped Words,NA
xsd, xss, Common Typos,NA
argx, args, Common Typos,{'1-step D-L dist': 1}
regex-url, url-regex, Swapped Words,{'sequence reordering': 1}
regex-email, email-regex, Swapped Words,{'sequence reordering': 1}
define, defined, Omitted Characters,{'1-step D-L dist': 1}
readable-stream-node-to-web, readable-web-to-node-stream, Swapped Words,{'sequence reordering': 1}
ix, is, Common Typos,NA
arraybuffer-to-string, string-to-arraybuffer, Swapped Words,{'sequence reordering': 1}
binpack, bin-pack, Omitted Characters,NA
json6, json5, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
json6, json, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
createerror, create-error, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
memoizesync, memoizeasync, Omitted Characters,{'1-step D-L dist': 1}
normalizeurl, normalize-url, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
httperrors, http-errors, Omitted Characters,{'delimiter modification': 1}
react-loading-skeleton-2, react-loading-skeleton, Version Number,{'1-step D-L dist': 2}
y-emitter, emittery, Swapped Words,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
leftpad, left-pad, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ng-device-detector, ngx-device-detector, Omitted Characters,{'1-step D-L dist': 1}
fontawesome, font-awesome, Omitted Characters,{'delimiter modification': 1}
requires, requirejs, Omitted Characters,{'1-step D-L dist': 1}
commits, commist, Swapped Characters,{'1-step D-L dist': 1}
crel, crelt, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
doc-js, jsdoc, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
httpx, https, Common Typos,{'1-step D-L dist': 1}
rxmq, rsmq, Common Typos,{'1-step D-L dist': 1}
scrypt.js, scrypt-js, Swapped Words,{'delimiter modification': 1}
scrypt.js, scrypt-js, Common Typos,{'delimiter modification': 1}
tar.gz, targz, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tar.gz, targz, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
earley, nearley, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
skx, wkx, Common Typos,NA
datatables.net-colreorder-bs, datatables.net-colreorder-bs4, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
bytesize, byte-size, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
spaper, sapper, Swapped Characters,{'1-step D-L dist': 1}
extra-fs, fs-extra, Swapped Words,{'sequence reordering': 1}
mock-xhr, xhr-mock, Swapped Words,{'sequence reordering': 1}
axis, axios, Omitted Characters,NA
prism, prisma, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
gawk, hawk, Common Typos,NA
hwa, jwa, Common Typos,NA
arrayreduce, array-reduce, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
nano-seconds, nanoseconds, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
nano-seconds, nanoseconds, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
hex-cli, hexo-cli, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
gitty, fitty, Common Typos,{'1-step D-L dist': 1}
jsec, jsesc, Omitted Characters,{'1-step D-L dist': 1}
ee-class, es-class, Common Typos,{'1-step D-L dist': 1}
diff-json, json-diff, Swapped Words,{'sequence reordering': 1}
mock-fetch, fetch-mock, Swapped Words,{'sequence reordering': 1}
