Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Source
discord.app,discord.js,npm,"(9,)",,https://snyk.io/vuln/SNYK-JS-DISCORDAPP-1038826
db-json.js,json,npm,"(4,)",,https://snyk.io/vuln/SNYK-JS-DBJSONJS-1047461
discord.dll,discord.js,npm,"(9,)",,https://snyk.io/vuln/SNYK-JS-DISCORDDLL-1038397
twilio-npm,twilio,npm,"(4,)",,https://snyk.io/vuln/SNYK-JS-TWILIONPM-1035374
plutov-slack-client,slack,npm,"(12,)",,https://snyk.io/vuln/SNYK-JS-PLUTOVSLACKCLIENT-1018836
dhkey,hdkey,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-DHKEY-536149
degbu,debug,npm,"(1, 1)",,https://snyk.io/vuln/SNYK-JS-DEGBU-536150
cxt,ccxt,npm,"(6,)",,https://snyk.io/vuln/SNYK-JS-CXT-536151
crytpo-js,crypto-js,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-CRYTPOJS-536152
crpyto-js,crypto-js,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-CRPYTOJS-536153
conistring,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-CONISTRING-536154
commanedr,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-COMMANEDR-536155
commandre,commander,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-COMMANDRE-536156
coinstrng,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-COINSTRNG-536158
coinstrig,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-COINSTRIG-536159
coinstirng,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-COINSTIRNG-536160
coinpayment,coinpayments,npm,"(10,)",,https://snyk.io/vuln/SNYK-JS-COINPAYMENT-536161
cionstring,coinstring,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-CIONSTRING-536162
bsae-x,base-x,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BSAEX-536163
bs85check,bs58check,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BS85CHECK-536164
bs85,bs58,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BS85-536165
bs58chekc,bs58check,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BS58CHEKC-536166
bs58chek,bs58check,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BS58CHEK-536167
bs58chcek,bs58check,npm,"(1,)",,https://snyk.io/vuln/SNYK-JS-BS58CHCEK-536168
