Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
botaa3,boto3,pip,"(1, 1)",,29/11/2021,gives control to remote server,Backdoor,https://blog.sonatype.com/another-day-of-malware-malicious-botaa3-pypi-package
matplatlib-plus,matplotlib or mplotlab,pip,"(1, 4)",,21/06/2021,PyPI cryptomining sonatype: It installs cryptomining malware in user's system.,Cryptojacking,https://blog.sonatype.com/sonatype-catches-new-pypi-cryptomining-malware-via-automated-detection
mllearnlib,mllearn,pip,"(4,)",,21/06/2021,PyPI cryptomining sonatype: It installs cryptomining malware in user's system.,Cryptojacking,https://blog.sonatype.com/sonatype-catches-new-pypi-cryptomining-malware-via-automated-detection
mplatlib,matplotlib or mplotlab,pip,"(1, 1)",,21/06/2021,PyPI cryptomining sonatype: It installs cryptomining malware in user's system.,Cryptojacking,https://blog.sonatype.com/sonatype-catches-new-pypi-cryptomining-malware-via-automated-detection
learninglib,learnlib or mllearn,pip,"(10,)",,21/06/2021,PyPI cryptomining sonatype: It installs cryptomining malware in user's system.,Cryptojacking,https://blog.sonatype.com/sonatype-catches-new-pypi-cryptomining-malware-via-automated-detection
hdeky,hdkey,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-255r-pghp-r5wh
web3-eht,web3-eth,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-29fh-xcjr-p7rx
bcion,bcoin,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-2fwq-wx47-hm6x
baes-x,base-x,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-2jm5-2cqf-6vw9
nothing-js,nothing.js,npm,"(3,)",,16/05/2018,Attempt to delete all files at npm test,Sabotage,https://github.com/advisories/GHSA-353r-3v84-9pjj
we3b,web3,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-36r8-9qq7-mh43
bitcoijns-lib,bitcoinjs-lib,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-37vc-gwvp-6cgv
electorn,electron,npm,"(1,)",,1/10/20,Public comment on GitHub,Malvertizing,https://github.com/advisories/GHSA-38hx-3542-8fh3
getcookies,get-cookie,npm,"(3, 10)",,2/5/18,Malicious backdoor,Backdoor,https://github.com/advisories/GHSA-3cjv-4phw-gvvv
js-sia3,js-sha3,npm,"(1,)",,25/10/2019,Ethereum mining ,Cryptojacking,https://github.com/advisories/GHSA-3mhm-jvqj-fvhg
fs-extar,fs-extra,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-435c-qcpm-wjw5
hw-trnasport-u2f,hw-transport-u2f,npm,"(1,)",,27/11/2019,No description,N/A,https://github.com/advisories/GHSA-4363-x42f-xph6
browserift,browserify,npm,"(1,)",,31/05/2019,Preinstall script with backdoor,Backdoor,https://github.com/advisories/GHSA-43vf-2x6g-p2m5
tiar,tar,npm,"(1,)",,12/7/19,"remote server, downloads a file and executes it.",Downloader,https://github.com/advisories/GHSA-4hjg-w3ww-38c6
