id,base_pkg,adv_pkg,attack_type,response_count,likert_scores,considering_scores,confusability_cat
230,creditcards,creditcard,grammatical substitution,4,"[6, 6, 6, 6]","[6, 6, 6]",Very Highly Confusing
437,gray-matter,grey-matter,alternate spelling,7,"[6, 6, 6, 6, 6, 6]","[6, 6, 6]",Very Highly Confusing
418,glamor,glamour,alternate spelling,7,"[6, 6, 6, 6, 3, 6]","[6, 6, 6]",Very Highly Confusing
55,@sap-cloud-sdk/util,@sap/cloud-sdk-util,scope confusion,4,"[6, 6, 6, 2]","[6, 2, 6]",Mildly Confusing
1074,validatorjs,validator-js,delimiter modification,3,"[6, 6, 5]","[6, 6, 5]",Highly Confusing
395,front-matter,frontmatter,delimiter modification,4,"[6, 6, 4]","[6, 6, 4]",Confusing
343,ethereumjs-util,ethereumjs-utils,grammatical substitution,4,"[6, 6, 3]","[6, 6, 3]",Mildly Confusing
444,guid-typescript,typescript-guid,sequence reordering,3,"[6, 6, 3]","[6, 6, 3]",Mildly Confusing
691,normalize-path,normalize-paths,grammatical substitution,3,"[6, 6, 3]","[6, 6, 3]",Mildly Confusing
848,redux-batched-actions,redux-batched-actions-thunk,prefix/ suffix augmentation,4,"[6, 6, 3]","[6, 6, 3]",Mildly Confusing
1001,tcomb,fcomb,homographic replacement,3,"[6, 6, 3]","[6, 6, 3]",Mildly Confusing
725,parse-url,parse_url,delimiter modification,4,"[6, 6, 3, 4]","[3, 6, 4]",Mildly Confusing
802,react-clamp-lines,react-line-clamp,grammatical substitution,3,"[6, 6, 2]","[6, 6, 2]",Mildly Confusing
224,cra-template,cra-template-red-hot-craco,prefix/ suffix augmentation,3,"[6, 6, 1]","[6, 6, 1]",Mildly Confusing
757,pouchdb-binary-utils,pouchdb-binary-util,grammatical substitution,4,"[6, 6, 1, 6]","[1, 6, 6]",Mildly Confusing
216,cookies-js,cookie_js,grammatical substitution,4,"[6, 5, 6]","[6, 5, 6]",Highly Confusing
492,is,ls,homographic replacement,3,"[6, 5, 6]","[6, 5, 6]",Highly Confusing
808,react-google-maps,react-maps-google,sequence reordering,3,"[6, 5, 6]","[6, 5, 6]",Highly Confusing
819,react-navigation-tabs,react-tabs-navigation,sequence reordering,3,"[6, 5, 6]","[6, 5, 6]",Highly Confusing
126,arrivals,arrival,grammatical substitution,4,"[6, 5, 6, 5]","[6, 6, 5]",Highly Confusing
806,react-flag-kit,react-flagkit,delimiter modification,4,"[6, 5, 6, 3]","[3, 6, 3]",Not Confusing
246,csv-parse,parse-csv,sequence reordering,4,"[6, 5, 6, 2]","[5, 6, 2]",Mildly Confusing
733,pdfjs,pdf.js,delimiter modification,3,"[6, 5, 5]","[6, 5, 5]",Highly Confusing
756,pouchdb,dbpouch,delimiter modification,3,"[6, 5, 5]","[6, 5, 5]",Highly Confusing
968,stream-connect,connect-stream,sequence reordering,3,"[6, 5, 5]","[6, 5, 5]",Highly Confusing
264,date-utils,dateutil,grammatical substitution,4,"[6, 5, 5, 5]","[5, 5, 5]",Highly Confusing
352,express-http-proxy,express-http-proxy-async,prefix/ suffix augmentation,4,"[6, 5, 5, 5]","[5, 5, 5]",Highly Confusing
38,@material/fab,@materialr/fab,scope confusion,4,"[6, 5, 4]","[6, 5, 4]",Confusing
257,dashjs,dash-js,delimiter modification,4,"[6, 5, 4]","[6, 5, 4]",Confusing
298,download,downloadr,grammatical substitution,4,"[6, 5, 4]","[6, 5, 4]",Confusing
312,ejs,ejstpl,prefix/ suffix augmentation,4,"[6, 5, 4]","[6, 5, 4]",Confusing
31,@jest/reporters,jest-reporters,scope confusion,4,"[6, 5, 4, 2]","[4, 4, 5]",Confusing
825,react-recaptcha,recaptcha-react,sequence reordering,3,"[6, 5, 3]","[6, 5, 3]",Mildly Confusing
975,string,strings,grammatical substitution,3,"[6, 5, 3]","[6, 5, 3]",Mildly Confusing
1042,types-registry,type-registry,grammatical substitution,3,"[6, 5, 3]","[6, 5, 3]",Mildly Confusing
560,jsonp,jsonpos,prefix/ suffix augmentation,3,"[6, 5, 2]","[6, 5, 2]",Mildly Confusing
954,standard-json,json-standard,sequence reordering,3,"[6, 5, 2]","[6, 5, 2]",Mildly Confusing
371,file-saver,save-file,grammatical substitution,4,"[6, 4, 6]","[6, 4, 6]",Confusing
601,lodash.isarray,sarray,simplification,3,"[6, 4, 6]","[6, 4, 6]",Confusing
152,basic-auth-connect,connect-basic-auth,sequence reordering,4,"[6, 4, 6, 2]","[4, 6, 4]",Confusing
6,@aws-cdk/aws-dms,@aws-cdk/aws-fms,scope confusion,4,"[6, 4, 5]","[6, 4, 5]",Confusing
853,relay-test-utils,relay-testing-utils,semantic substitution,3,"[6, 4, 5]","[6, 4, 5]",Confusing
237,css-loader,loader-css,sequence reordering,4,"[6, 4, 4]","[6, 4, 4]",Confusing
1030,tsconfig,ts-config,delimiter modification,3,"[6, 4, 4]","[6, 4, 4]",Confusing
643,mimelib,mime-lib,delimiter modification,4,"[6, 4, 4, 6]","[4, 6, 4]",Confusing
60,@stdlib/math-base-special-ceil,@stdlib/math-base-special-ceilf,scope confusion,4,"[6, 4, 4, 4]","[6, 4, 4]",Confusing
95,accesscontrol,access-control,delimiter modification,4,"[6, 4, 3]","[6, 4, 3]",Mildly Confusing
125,array-source,array,simplification,3,"[6, 4, 1]","[6, 4, 1]",Mildly Confusing
91,@vue/cli-plugin-typescript,vue-cli-plugin-typescript,scope confusion,4,"[6, 4, 1, 5]","[5, 6, 1]",Mildly Confusing
510,isobject,object,simplification,4,"[6, 4, 1, 5]","[1, 5, 1]",Not Confusing
581,leaflet.markercluster,leaflet-markercluster,delimiter modification,4,"[6, 4, 1, 4]","[4, 6, 6]",Confusing
10,@aws-sdk/client-sns,@aws-sdk/client-sms,scope confusion,4,"[6, 3, 6]","[6, 3, 6]",Mildly Confusing
805,react-credit-cards,react-credit-card,grammatical substitution,3,"[6, 3, 6]","[6, 3, 6]",Mildly Confusing
809,react-hotkeys,react-hotkey,grammatical substitution,3,"[6, 3, 6]","[6, 3, 6]",Mildly Confusing
970,stream-promise,promise-stream,sequence reordering,3,"[6, 3, 6]","[6, 3, 6]",Mildly Confusing
285,diff,keys-diff,prefix/ suffix augmentation,4,"[6, 3, 5]","[6, 3, 5]",Mildly Confusing
293,dom-set,set-dom,sequence reordering,3,"[6, 3, 5]","[6, 3, 5]",Mildly Confusing
57,@serverless/cli,@serverless-stack/cli,scope confusion,4,"[6, 3, 4]","[6, 3, 4]",Mildly Confusing
835,react-textfit,react-fittext,sequence reordering,3,"[6, 3, 4]","[6, 3, 4]",Mildly Confusing
593,lock,lockmap,prefix/ suffix augmentation,4,"[6, 3, 3, 2]","[3, 2, 3]",Not Confusing
190,co,cor,grammatical substitution,3,"[6, 3, 2]","[6, 3, 2]",Not Confusing
25,@graphql-codegen/introspection,graphql-codegen-introspection,scope confusion,4,"[6, 3, 2, 5]","[5, 3, 6]",Mildly Confusing
645,mini-store,mini-stores,grammatical substitution,4,"[6, 2, 6]","[6, 2, 6]",Mildly Confusing
289,distributions,distribution,grammatical substitution,4,"[6, 2, 6, 2]","[6, 2, 2]",Not Confusing
243,csstype,type-css,sequence reordering,4,"[6, 2, 5]","[6, 2, 5]",Mildly Confusing
507,is-zip,zipit,delimiter modification,4,"[6, 2, 5]","[6, 2, 5]",Mildly Confusing
850,regl,regi,homographic replacement,3,"[6, 2, 5]","[6, 2, 5]",Mildly Confusing
59,@slack/logger,slack-logger,scope confusion,4,"[6, 2, 4]","[6, 2, 4]",Mildly Confusing
707,oboe,soprano-saxophone,semantic substitution,3,"[6, 2, 4]","[6, 2, 4]",Mildly Confusing
682,node-fs,node.fs,delimiter modification,3,"[6, 2, 3]","[6, 2, 3]",Not Confusing
1032,tsutils,tw-utils,delimiter modification,3,"[6, 2, 3]","[6, 2, 3]",Not Confusing
537,js-yaml,jsonjs,semantic substitution,4,"[6, 2, 3, 1]","[1, 2, 1]",Not Confusing
92,@vue/test-utils,vue-test-utils,scope confusion,3,"[6, 2, 2]","[6, 2, 2]",Not Confusing
999,tarr,farr,homographic replacement,3,"[6, 2, 1]","[6, 2, 1]",Not Confusing
1053,uri-js,url-js,homographic replacement,3,"[6, 1, 6]","[6, 1, 6]",Mildly Confusing
460,html,html5,homophonic similarity,4,"[6, 1, 6, 6]","[6, 6, 6]",Very Highly Confusing
